FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;12;10;18;14;14;14;8;10;10;10;8;4;3;3;3;2;3;3;22;22;30;24;24;22
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;6;4;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;8;0;0;0;0;12;4;3;2;1;1;3;18;8;6;2;2;18
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;2;4;8;10;6;10;8;4;6;0;0;0;0;0;0;0;0;0;0;0;0;26;22;32;26;22;24;12;28;60;36;20;60;4;4;4;4;4;4;58;62;106;72;50;98
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;4;14;2;12;8;6;4;4;0;0;0;0;0;0;0;4;2;0;0;0;8;4;2;0;2;0;68;64;82;58;38;34;4;4;5;3;4;3;86;84;96;66;48;52
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;8;10;2;18;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;16;6;20;10;20;30;2;2;3;2;2;3;24;14;32;12;38;48
1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;10;14;8;6;2;0;2;3;3;2;3;0;14;22;12;10;6;0
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;4;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;8;4;0;2;0;0;2;0;2;8;3;3;4;2;2;3;12;12;16;8;6;12
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;16;4;12;4;8;16;40;44;36;40;32;16;0;0;0;0;0;0;0;0;0;0;0;0;32;28;16;16;16;16;48;84;32;36;32;48;4;4;4;4;4;4;136;160;96;96;88;96
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;4;4;14;4;8;14;6;8;6;0;0;0;0;0;0;0;0;0;0;0;0;10;6;12;12;14;16;6;4;10;10;6;8;4;4;4;4;4;4;28;26;44;32;32;44
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;6;4;6;0;0;4;0;4;0;0;0;10;0;0;0;0;0;0;0;0;0;2;2;8;14;12;4;0;2;20;4;8;22;4;20;20;3;4;3;3;3;5;24;28;32;8;24;62
