ACCOUNT_NUM;FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206
3760;1;1;1;1;1;1
20230;0;0;1;1;1;1
19950;0;0;0;1;0;0
1961;1;1;1;1;1;1
5363;1;1;1;1;1;1
17019;1;1;1;1;1;1
337;1;1;1;1;1;1
9539;0;0;0;0;0;1
3409;1;1;1;1;1;1
17582;1;1;1;1;1;1
2267;1;1;1;1;1;1
21253;0;0;1;1;1;1
3590;0;0;0;0;0;1
19810;1;1;1;0;0;0
7889;1;1;1;1;0;1
20184;0;0;1;1;1;1
2143;1;1;1;1;1;1
3972;1;1;1;1;1;1
13404;1;1;1;1;1;1
17396;1;1;1;1;1;1
11452;0;0;0;0;1;1
22675;1;0;0;1;0;1
4910;0;1;0;1;0;0
7595;1;1;1;1;1;1
2089;1;1;1;1;1;1
2160;1;1;1;1;1;1
3220;0;0;0;1;1;1
20982;1;0;0;0;0;1
14192;1;1;1;1;1;1
11843;1;1;1;1;1;1
10871;1;1;1;1;1;1
4995;1;1;1;1;1;1
22853;1;1;1;1;1;1
17965;0;0;0;1;0;0
11762;0;1;1;1;1;1
20630;1;1;1;1;1;0
4669;1;1;1;1;1;1
19240;1;1;1;1;1;1
17906;1;1;1;1;1;1
23191;1;1;1;1;1;1
12890;1;1;1;1;1;1
6084;1;1;1;1;1;1
14486;0;1;1;1;1;0
4928;0;0;0;0;0;1
13811;1;1;1;1;1;1
19720;0;0;1;1;1;1
9695;1;1;1;1;1;1
16748;0;0;0;0;1;1
22357;0;0;0;0;1;1
12807;1;1;1;1;1;1
3840;1;1;0;0;0;0
1244;1;1;1;1;1;1
21350;1;1;1;1;1;1
1511;0;1;1;1;1;1
19283;0;1;1;1;1;1
16489;1;0;1;1;0;0
10049;1;1;0;1;0;1
10499;1;1;1;1;1;1
23337;1;1;1;1;1;1
20249;1;1;1;1;1;1
10057;1;1;1;1;1;1
973;1;0;0;1;0;1
8923;0;0;0;1;0;1
3018;0;0;0;1;0;0
17086;1;1;1;1;1;1
22454;1;1;1;1;1;1
16543;0;0;0;1;1;1
22462;1;1;1;1;1;1
17540;1;1;1;1;1;1
17302;1;1;1;1;1;1
5916;1;1;1;1;1;1
13684;0;0;1;1;1;1
22209;0;0;0;0;1;1
15946;0;0;0;1;0;0
11088;1;1;1;1;1;1
6661;1;1;1;1;1;1
4090;1;1;1;1;1;1
12459;1;1;1;1;1;1
3425;0;1;1;1;1;1
2429;1;1;1;1;1;1
