oid_usuario;oid_conta;num_conta;nom_transacao;NUM_ANO_MES;qtd_transacao
2542840;2471690;9458;Pagamentos;202206;10
2542840;2471690;9458;Pagamentos;202205;5
6770212;6294242;21245;Convênios;202203;20
6496555;6060161;20206;Pagamentos;202201;20
6496555;6060161;20206;Pagamentos;202204;14
2446153;2380911;10669;Pagamentos;202204;24
1545154;1552922;3247;Convênios;202205;4
7020722;6506372;14982;Conta Corrente;202205;18
5897450;5541060;18538;Pagamentos;202202;36
3320305;3178294;11088;Cartões;202203;4
2017664;1986030;205;Crédito;202203;4
6770212;6294242;21245;Convênios;202201;12
7020722;6506372;14982;Cartões;202201;2
1576284;1581684;5185;Convênios;202206;4
6770212;6294242;21245;Pagamentos;202204;32
4457310;4257212;15083;Pagamentos;202204;4
3320305;3178294;11088;Pagamentos;202202;12
7020722;6506372;14982;Cartões;202203;2
6984519;6476217;22470;Conta Corrente;202205;2
3320305;3178294;11088;Pagamentos;202205;8
3320305;3178294;11088;Convênios;202205;8
5897450;5541060;18538;Cartões;202202;12
7020722;6506372;14982;Pagamentos;202202;4
5897450;5541060;18538;Cartões;202203;24
3320305;3178294;11088;Cartões;202201;4
6496555;6060161;20206;Convênios;202206;4
5897450;5541060;18538;Pagamentos;202203;48
2542840;2471690;9458;Pagamentos;202202;5
3320305;3178294;11088;Pagamentos;202203;12
1545154;1552922;3247;Pagamentos;202206;10
7020722;6506372;14982;Cartões;202204;2
3320305;3178294;11088;Pagamentos;202206;12
6984519;6476217;22470;Conta Corrente;202201;2
7020722;6506372;14982;Conta Corrente;202201;2
1545154;1552922;3247;Convênios;202203;4
5897450;5541060;18538;Pagamentos;202206;36
2542840;2471690;9458;Convênios;202202;2
3320305;3178294;11088;Convênios;202201;8
6770212;6294242;21245;Pagamentos;202205;28
1576284;1581684;5185;Convênios;202204;34
6282849;5875256;19569;Pagamentos;202204;10
6770212;6294242;21245;Pagamentos;202201;12
6984519;6476217;22470;Pagamentos;202204;14
5897450;5541060;18538;Investimentos;202206;48
1576284;1581684;5185;Cartões;202205;4
7020722;6506372;14982;Convênios;202203;2
7020722;6506372;14982;Investimentos;202201;2
1576284;1581684;5185;Convênios;202205;6
6984519;6476217;22470;Cartões;202206;2
4457310;4257212;15083;Pagamentos;202206;8
6555009;6110182;20443;PIX;202206;2
6496555;6060161;20206;PIX;202205;40
3412900;3269559;12815;PIX;202202;12
2017664;1986030;205;PIX;202204;12
2017664;1986030;205;PIX;202203;8
4457310;4257212;15083;PIX;202204;14
4457310;4257212;15083;PIX;202202;6
6496555;6060161;20206;PIX;202203;34
3785608;3607993;13250;PIX;202206;22
4457310;4257212;15083;PIX;202206;24
6770212;6294242;21245;PIX;202205;44
6770212;6294242;21245;PIX;202201;8
7020722;6506372;14982;PIX;202204;42
2446153;2380911;10669;PIX;202202;56
3785608;3607993;13250;PIX;202205;52
1545154;1552922;3247;PIX;202204;34
1545154;1552922;3247;PIX;202206;62
5897450;5541060;18538;PIX;202204;168
5897450;5541060;18538;PIX;202206;360
4457310;4257212;15083;PIX;202203;10
1654298;1647668;230;PIX;202202;10
1576284;1581684;5185;PIX;202205;300
1576284;1581684;5185;PIX;202202;228
5777766;5435962;18147;PIX;202204;8
2930074;2827890;12050;Pagamentos;202201;12
2481603;2413503;6009;Convênios;202206;3
6521014;6081070;20273;Pagamentos;202204;36
7160283;6625106;23264;Conta Corrente;202204;42
6287815;5879512;19607;Convênios;202203;4
2481603;2413503;6009;Pagamentos;202204;9
7160283;6625106;23264;Conta Corrente;202206;6
7059916;6540029;22233;Pagamentos;202202;28
1501363;1512350;1708;Pagamentos;202205;10
1492012;1503591;698;Pagamentos;202202;12
3039919;2927036;12270;Pagamentos;202205;6
1492012;1503591;698;Pagamentos;202201;4
3039919;2927036;12270;Pagamentos;202204;6
6521014;6081070;20273;Investimentos;202206;12
2481603;2413503;6009;Conta Corrente;202206;33
2930074;2827890;12050;Pagamentos;202202;4
2481603;2413503;6009;Conta Corrente;202205;18
2481603;2413503;6009;Conta Corrente;202204;18
6521014;6081070;20273;Investimentos;202204;24
1492012;1503591;698;Conta Corrente;202203;2
2481603;2413503;6009;Pagamentos;202203;12
7160283;6625106;23264;Pagamentos;202203;18
2481603;2413503;6009;Convênios;202205;6
6521014;6081070;20273;Pagamentos;202203;24
3067516;2951479;11606;Pagamentos;202201;2
3303680;3163214;12726;PIX;202204;2
1492012;1503591;698;PIX;202201;24
2542606;2471406;11010;PIX;202205;2
6191500;5796494;19259;PIX;202204;20
1571775;1577528;5150;PIX;202206;14
1506091;1516733;2046;PIX;202206;24
2930074;2827890;12050;PIX;202205;56
2000138;1966930;4430;PIX;202202;6
2000138;1966930;4430;PIX;202201;4
1470346;1483011;1023;PIX;202206;30
3067516;2951479;11606;PIX;202205;6
2930074;2827890;12050;PIX;202202;80
3039919;2927036;12270;PIX;202205;94
2930074;2827890;12050;PIX;202203;44
6287815;5879512;19607;PIX;202201;12
6287815;5879512;19607;PIX;202204;12
1501363;1512350;1708;PIX;202205;10
6191500;5796494;19259;PIX;202206;48
6191500;5796494;19259;PIX;202203;40
1502071;1512992;2267;PIX;202201;18
5696077;5363998;17906;PIX;202201;24
7160283;6625106;23264;PIX;202206;6
1485727;1497643;1228;PIX;202204;2
1571775;1577528;5150;PIX;202205;20
2542606;2471406;11010;PIX;202201;10
2542606;2471406;11010;PIX;202204;2
2930074;2827890;12050;PIX;202204;32
6521014;6081070;20273;PIX;202203;60
6984519;6476217;22470;Pagamentos;202206;10
6496555;6060161;20206;Convênios;202203;4
6984519;6476217;22470;Pagamentos;202201;12
6770212;6294242;21245;Convênios;202202;20
